gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene_name,transcript_id,cds_start,cds_length,tx_length,cds_end,minus_log10_p,is_MAPT,color,name
ENSG00000041982.15,9.86915250746787,-1.54686196587483,0.7166806967922696,-2.158369791175203,0.030899092481628178,0.9999676128209719,TNC,ENST00000350763.8,413,6606,7641,7018,1.5100542757858104,FALSE,grey60,
ENSG00000076356.6,21.95799700038207,-1.5414211669579447,0.9492039121848799,-1.6239094120565705,0.10439514351887622,0.9999676128209719,PLXNA2,ENST00000367033.3,759,5685,11444,6443,0.9813197043223737,FALSE,grey60,
ENSG00000107957.16,10.080364235008263,-1.5193628430296848,0.6110380802675642,-2.486527259257523,0.012899668666565256,0.9220071974165089,SH3PXD2A,ENST00000355946.6,141,3318,11245,3458,1.8894214445945792,FALSE,grey60,
ENSG00000144834.13,12.467433520195355,-1.518002251356071,0.523356905254412,-2.9005106001575465,0.003725552371337924,0.6928269698353078,TAGLN3,ENST00000393917.6,553,600,1488,1152,2.4288093272004434,FALSE,grey60,
ENSG00000183570.16,8.240475821074392,-1.5005994767774777,0.6212545590816154,-2.4154341482753465,0.015716464108204358,0.9220071974165089,PCBP3,ENST00000400314.5,339,1116,2202,1454,1.8036451549266546,FALSE,grey60,
ENSG00000165606.8,9.549727423542427,-1.4952193364490036,0.636338086194388,-2.349724727921197,0.01878729930473293,0.9659704039322581,DRGX,ENST00000374139.6,12,792,2738,803,1.7261356457297237,FALSE,grey60,
ENSG00000149926.13,18.854435604148822,-1.4924952415369053,0.5117182392474133,-2.9166348335207393,0.003538297538962219,0.6928269698353078,FAM57B,ENST00000380495.8,733,825,2313,1557,2.4512056496353996,FALSE,grey60,
ENSG00000170091.10,16.732628501723028,-1.4839563989982911,1.1040983983140131,-1.3440436117508467,0.17893428460197922,0.9999676128209719,NSG2,ENST00000303177.7,263,516,2452,778,0.7473064387120862,FALSE,grey60,
ENSG00000128564.6,1137.8637480064083,-1.4746620734348732,0.7484079966627676,-1.9703986061219967,0.04879270521129801,0.9999676128209719,VGF,ENST00000249330.2,241,1848,2575,2088,1.3116451026549052,FALSE,grey60,
ENSG00000178403.3,41.45926117956445,-1.4562412589799039,0.37641774992265975,-3.868683820779198,1.0942442609000575e-4,0.24866700828953808,NEUROG2,ENST00000313341.3,328,819,2287,1146,3.960885722499607,FALSE,grey60,NEUROG2
ENSG00000186868.15,7.807310662329632,-1.447500506277901,0.6896229018895775,-2.098973949837987,0.03581919717171987,0.9999676128209719,MAPT,ENST00000344290.9,323,2331,6816,2653,1.4458841523730652,TRUE,red,MAPT
ENSG00000122756.14,28.722483346134343,-1.4335792594363155,0.39047720110901574,-3.671352015853239,2.4127076252197303e-4,0.36552520522078913,CNTFR,ENST00000378980.7,295,1119,2052,1413,3.61749530322466,FALSE,grey60,CNTFR
ENSG00000162735.18,9.847237389733703,-1.4195556380495027,0.6512387916907407,-2.1797774582255216,0.029273961645582998,0.9999676128209719,PEX19,ENST00000368072.9,23,900,3661,922,1.5335185005114882,FALSE,grey60,
ENSG00000243014.1,14.662575763396923,-1.411070585338436,0.9612768653518168,-1.4679127691500198,0.1421279192023369,0.9999676128209719,NA,NA,NA,NA,NA,NA,0.8473206021251649,FALSE,grey60,NA
ENSG00000138834.12,7.831338047038621,-1.4025692503904175,0.6230588778679952,-2.2511022637054436,0.024379061087284184,0.9999676128209719,MAPK8IP3,ENST00000610761.1,121,4014,5626,4134,1.6129830244134327,FALSE,grey60,
ENSG00000171450.5,9.030072665569845,-1.3988882783774734,0.6834719854518743,-2.0467382835780827,0.0406837882073449,0.9999676128209719,CDK5R2,ENST00000302625.5,167,1104,2508,1270,1.3905786152146613,FALSE,grey60,
ENSG00000171094.17,16.59723582837189,-1.3979920483117914,0.6024354457808808,-2.320567387099384,0.020310204046233713,0.9659704039322581,ALK,ENST00000389048.7,908,4863,6220,5770,1.6922857134387082,FALSE,grey60,
ENSG00000161888.11,8.48612479598434,-1.3876899555113575,0.6197201801919447,-2.2392202156165886,0.025141591121885947,0.9999676128209719,SPC24,ENST00000592540.5,33,594,2315,626,1.599607240827122,FALSE,grey60,
ENSG00000204438.10,7.573169520220902,-1.3842539880942633,0.5711831589268886,-2.4234852979470416,0.015372375482366888,0.9220071974165089,GPANK1,ENST00000375906.5,686,1071,2793,1756,1.8132590160936881,FALSE,grey60,
ENSG00000173511.9,8.927632680190051,-1.3539133751222652,0.5639710475571073,-2.4006788663830636,0.01636469082027516,0.9220071974165089,VEGFB,ENST00000309422.6,297,624,1380,920,1.7860921954471374,FALSE,grey60,
ENSG00000078900.14,7.4555644307316165,-1.3468869531253562,0.6703962894070077,-2.0090907041217836,0.04452751531726545,0.9999676128209719,TP73,ENST00000378295.8,156,1911,5188,2066,1.3513715382868627,FALSE,grey60,
ENSG00000130803.14,7.625672103887754,-1.3309992428511312,0.6761310366893123,-1.9685522045673172,0.04900453568204567,0.9999676128209719,ZNF317,ENST00000247956.10,306,1788,4073,2093,1.3097637213894147,FALSE,grey60,
ENSG00000072832.14,56.463126849325626,-1.318415237776514,0.4104346062880337,-3.21224189573157,0.0013170343136183506,0.5384843626905387,CRMP1,ENST00000324989.11,90,2061,3146,2150,2.8804029099121924,FALSE,grey60,
ENSG00000178498.15,9.248953560635943,-1.3152633118856158,0.5717425831976886,-2.3004466529841174,0.021422928325654445,0.9659704039322581,DTX3,ENST00000551632.1,136,1053,1840,1188,1.6691211652151772,FALSE,grey60,
ENSG00000153904.19,18.5428088218708,-1.2850184082710854,0.4531406461883228,-2.835804775140473,0.00457103780569765,0.6928269698353078,DDAH1,ENST00000284031.12,96,858,3920,953,2.339985186774993,FALSE,grey60,
ENSG00000155093.18,7.218812880802029,-1.274135965826366,0.736282577045985,-1.730498595985097,0.08354123186469622,0.9999676128209719,PTPRN2,ENST00000389418.8,11,3048,4706,3058,1.078099125095609,FALSE,grey60,
ENSG00000130522.5,20.348408361355332,-1.2685207061344776,0.521649326487167,-2.4317499165134726,0.015026078128951193,0.9220071974165089,JUND,ENST00000252818.4,139,1044,1863,1182,1.8231543573514344,FALSE,grey60,
ENSG00000121653.11,9.506999728672097,-1.2648471182426462,0.5500085888152737,-2.2996861212061157,0.0214660089762724,0.9659704039322581,MAPK8IP1,ENST00000241014.6,171,2136,3050,2306,1.6682486933700058,FALSE,grey60,
ENSG00000211450.9,11.457300338921034,-1.2459855537349465,0.5115105284274142,-2.4358942475057144,0.01485502676920899,0.9220071974165089,SELENOH,ENST00000388857.8,25,369,833,393,1.8281265612477777,FALSE,grey60,
ENSG00000196405.12,6.1821416218173315,-1.2379154347559078,0.7464534681531695,-1.6583959852429706,0.0972375664146406,0.9999676128209719,EVL,ENST00000392920.7,224,1257,1978,1480,1.0121659188735215,FALSE,grey60,
ENSG00000119403.14,9.338238636988065,-1.2355118432339518,0.624419561001938,-1.978656532238453,0.04785469007787777,0.9999676128209719,PHF19,ENST00000616568.5,68,1800,4113,1867,1.320075492053802,FALSE,grey60,
ENSG00000145284.11,10.339489034803714,-1.2228748353650538,0.584003481379364,-2.0939512765861137,0.03626432080138686,0.9999676128209719,SCD5,ENST00000319540.8,321,993,3101,1313,1.4405204520771024,FALSE,grey60,
ENSG00000135111.15,28.967429919214418,-1.2193665498447546,0.5286107508896852,-2.306738082402758,0.02106942587138015,0.9659704039322581,TBX3,ENST00000257566.7,391,2232,4208,2622,1.6763472984824865,FALSE,grey60,
ENSG00000112146.16,8.488041433586657,-1.2186275545518044,0.6186315597627527,-1.9698761489296668,0.04885256656333924,0.9999676128209719,FBXO9,ENST00000244426.10,173,1344,4559,1516,1.311112614851755,FALSE,grey60,
ENSG00000129990.14,8.125407784842391,-1.2118581372203903,0.6570015489532299,-1.8445285846756185,0.06510614396203193,0.9999676128209719,SYT5,ENST00000354308.7,371,1161,3792,1531,1.1863780258265473,FALSE,grey60,
ENSG00000139289.13,15.27136240015217,-1.2095934641692785,0.5731631143426662,-2.110382601219034,0.03482541388158447,0.9999676128209719,PHLDA1,ENST00000266671.9,2192,1206,8069,3397,1.4581037135136128,FALSE,grey60,
ENSG00000143320.8,20.964834088605887,-1.207693066964139,0.8729140747632396,-1.3835188386574033,0.16650583502642805,0.9999676128209719,CRABP2,ENST00000621784.4,209,417,1033,625,0.7785705424857327,FALSE,grey60,
ENSG00000105409.18,24.185651628249953,-1.2006616739753626,0.47626112106922325,-2.5210155119944164,0.011701669346883261,0.9173428878479445,ATP1A3,ENST00000545399.6,195,3081,3628,3275,1.9317521778756905,FALSE,grey60,
ENSG00000169750.8,8.75135795223828,-1.200234463146807,0.5762070350191842,-2.082991685630576,0.037251981430612445,0.9999676128209719,RAC3,ENST00000306897.8,139,579,1090,717,1.4288506222044068,FALSE,grey60,
ENSG00000146674.14,14.011879772188422,-1.1952141100507427,1.1524983888978917,-1.0370635842655704,0.2997062250878352,0.9999676128209719,IGFBP3,ENST00000381083.8,112,894,1050,1005,0.523304236389627,FALSE,grey60,
ENSG00000100422.13,8.229511504782824,-1.1919859383900335,0.7706908087929342,-1.5466461060524872,0.12194860543912103,0.9999676128209719,CERK,ENST00000216264.12,114,1614,4450,1727,0.9138231617590854,FALSE,grey60,
ENSG00000131748.15,8.112380237193015,-1.1871427688667688,0.694652754133358,-1.7089729534691567,0.0874559595498695,0.9999676128209719,STARD3,ENST00000336308.9,219,1338,2132,1556,1.0582105908572712,FALSE,grey60,
ENSG00000137404.14,22.905029159081224,-1.1805541506915334,0.4167638234005895,-2.8326694506706156,0.004616109276448912,0.6928269698353078,NRM,ENST00000259953.8,353,789,1755,1141,2.335723918743784,FALSE,grey60,
ENSG00000137868.18,65.21360865540674,-1.1787579237073949,0.6776271313945175,-1.7395376735898682,0.08194023150067516,0.9999676128209719,STRA6,ENST00000563965.5,340,2121,2565,2460,1.086502813395767,FALSE,grey60,
ENSG00000161671.16,17.390443602690958,-1.176130616282084,0.4675596712984187,-2.5154663425439483,0.011887502707949773,0.9173428878479445,EMC10,ENST00000334976.10,47,789,9446,835,1.9249093711230882,FALSE,grey60,
ENSG00000157216.15,8.786633756386143,-1.1599896339439097,0.6112163020505414,-1.8978381794666044,0.05771740208176381,0.9999676128209719,SSBP3,ENST00000371320.7,412,1167,2077,1578,1.2386932251694327,FALSE,grey60,
ENSG00000092096.16,61.0548579707971,-1.1599022577416858,0.39742369173638936,-2.9185533773136187,0.0035165966363748047,0.6928269698353078,SLC22A17,ENST00000397267.5,505,1617,2455,2121,2.453877443637274,FALSE,grey60,
ENSG00000169105.7,16.81630983416527,-1.1554106003065077,0.4833900447271087,-2.390224235914455,0.016838088797798807,0.9220071974165089,CHST14,ENST00000306243.6,217,1131,3574,1347,1.773707204503462,FALSE,grey60,
ENSG00000240771.6,11.957556414916606,-1.1531753770685353,0.6071009708587696,-1.8994787233453454,0.05750156150143763,0.9999676128209719,ARHGEF25,ENST00000333972.11,38,1860,2246,1897,1.2403203615321106,FALSE,grey60,
ENSG00000138162.18,10.157480952781427,-1.1497013109798666,0.5848061138683143,-1.9659529606743382,0.04930404453154634,0.9999676128209719,TACC2,ENST00000369005.5,341,8847,9673,9187,1.3071174530212535,FALSE,grey60,
ENSG00000116786.12,7.645962651994629,-1.1393229063822112,0.5945970311094892,-1.9161261270617007,0.05534904343010175,0.9999676128209719,PLEKHM2,ENST00000375799.7,228,3060,4122,3287,1.2568898804152169,FALSE,grey60,
ENSG00000198910.13,54.34088305339353,-1.1179640858883537,0.44454502532991985,-2.5148500650944294,0.011908301514417761,0.9173428878479445,L1CAM,ENST00000370060.6,219,3774,5141,3992,1.9241501776875503,FALSE,grey60,
ENSG00000125817.7,10.43082829480285,-1.1046129711295258,0.5782161033032365,-1.910380850375986,0.05608419463625009,0.9999676128209719,CENPB,ENST00000379751.4,208,1800,2840,2007,1.251159512173157,FALSE,grey60,
ENSG00000103168.16,7.102904413207462,-1.0952831975580577,0.6357686497657878,-1.7227700641759411,0.08493011431856329,0.9999676128209719,TAF1C,ENST00000567759.5,184,2610,3879,2793,1.0709382913410228,FALSE,grey60,
ENSG00000135919.12,9.07351718980327,-1.090610199813645,0.6029664886647033,-1.8087409836471193,0.07049125269518355,0.9999676128209719,SERPINE2,ENST00000447280.6,302,1230,1716,1531,1.1518647715463022,FALSE,grey60,
ENSG00000175115.11,9.5732674622186,-1.085692046885429,0.567064650678042,-1.9145824829448663,0.055545770840150305,0.9999676128209719,PACS1,ENST00000320580.8,34,2892,4392,2925,1.2553490019023335,FALSE,grey60,
ENSG00000109089.7,8.41163764016333,-1.0850669095301193,0.6974716812514681,-1.5557146457662512,0.11977596235879862,0.9999676128209719,CDR2L,ENST00000337231.5,413,1398,3536,1810,0.921630331048512,FALSE,grey60,
ENSG00000148219.16,27.68921222085965,-1.0824150973159137,0.49745350051372283,-2.175912112786618,0.029561832902568738,0.9999676128209719,ASTN2,ENST00000361209.6,133,3867,4622,3999,1.5292686421718862,FALSE,grey60,
ENSG00000106236.3,7.968718106830269,-1.082386435253439,0.703115632702524,-1.5394145499128418,0.12370312419572907,0.9999676128209719,NPTX2,ENST00000265634.3,166,1296,2700,1461,0.9076193318677935,FALSE,grey60,
ENSG00000189056.13,15.192869369700336,-1.077111337235605,0.4382975889418246,-2.4574886205421733,0.013991224323683386,0.9220071974165089,RELN,ENST00000428762.5,161,10383,11571,10543,1.8541442802362125,FALSE,grey60,
ENSG00000153250.19,8.94666333242663,-1.0633478928106526,0.5728556081280742,-1.8562232397189313,0.0634217449089414,0.9999676128209719,RBMS1,ENST00000348849.7,432,1221,4273,1652,1.1977618134931003,FALSE,grey60,
ENSG00000105696.8,9.177681706619921,-1.0610938075187433,0.5622236801801083,-1.8873161073166147,0.05911782124767488,0.9999676128209719,TMEM59L,ENST00000600490.5,186,1029,1717,1214,1.228281579984479,FALSE,grey60,
ENSG00000129951.18,16.97558005665024,-1.058479154341754,0.4358969959177145,-2.4282781580388915,0.015170703031196954,0.9220071974165089,PLPPR3,ENST00000359894.6,65,2241,2387,2305,1.8189942929446603,FALSE,grey60,
ENSG00000266402.3,11.461612931276735,-1.05279194236625,0.5491158190288942,-1.917249341365,0.055206262339801436,0.9999676128209719,NA,NA,NA,NA,NA,NA,1.258011655144737,FALSE,grey60,NA
ENSG00000168280.16,33.1330789045652,-1.048850553233523,0.4294437358678329,-2.4423468446081165,0.01459211968054141,0.9220071974165089,KIF5C,ENST00000435030.5,369,2874,6931,3242,1.8358816170374808,FALSE,grey60,
ENSG00000166483.10,14.859679647298762,-1.0436710362834243,0.43201427446160545,-2.41582535110464,0.015699589647046305,0.9220071974165089,WEE1,ENST00000450114.6,254,1941,2799,2194,1.804111698950796,FALSE,grey60,
ENSG00000105486.13,25.59427410771416,-1.0257074008847962,0.37397154850728914,-2.7427418074420813,0.006092857176476911,0.7690031996980652,LIG1,ENST00000263274.11,421,2760,3384,3180,2.215179002114322,FALSE,grey60,
ENSG00000149260.16,8.335579505364775,-1.0187921137820222,0.6107315017142634,-1.6681505881428627,0.09528583691260353,0.9999676128209719,CAPN5,ENST00000278559.7,190,1923,4397,2112,1.0209716471876187,FALSE,grey60,
ENSG00000167543.15,9.451705492482358,-1.0136688889531327,0.5276657200716673,-1.9210436653255711,0.05472620279845396,0.9999676128209719,TP53I13,ENST00000301057.7,116,1182,1530,1297,1.2618046845249293,FALSE,grey60,
ENSG00000072849.10,10.127557721235014,-1.013182196348819,0.5730766498097924,-1.7679697762683233,0.07706595650119906,0.9999676128209719,DERL2,ENST00000158771.8,57,720,4209,776,1.1131374269914764,FALSE,grey60,
ENSG00000105404.10,9.478476647050497,-1.0095083680643904,0.5785440979819592,-1.7449117043725682,0.0810002396738506,0.9999676128209719,RABAC1,ENST00000222008.10,99,558,821,656,1.0915136960734888,FALSE,grey60,
ENSG00000168528.11,11.524101416273137,-0.9996621113773105,0.5504349431145804,-1.8161312683399489,0.0693502382282532,0.9999676128209719,SERINC2,ENST00000373710.5,274,1395,2146,1668,1.1589520427228075,FALSE,grey60,
ENSG00000143153.12,79.02933850061919,-0.9953606318530049,0.36409070613594635,-2.7338259809393524,0.0062603120767499255,0.7690031996980652,ATP1B1,ENST00000367816.5,530,912,2608,1441,2.203404016656631,FALSE,grey60,
ENSG00000125520.13,8.319833556293743,-0.9919632222209425,0.6296236884054089,-1.5754858663802789,0.11514433829348031,0.9999676128209719,SLC2A4RG,ENST00000266077.4,53,1164,1731,1216,0.9387574116585002,FALSE,grey60,
ENSG00000200792.1,6.1683965316602976,-0.9907654067650993,1.1292474463359825,-0.877367852351396,0.3802868685208668,0.9999676128209719,NA,NA,NA,NA,NA,NA,0.41988867071617986,FALSE,grey60,NA
ENSG00000184110.14,8.522290795854829,-0.9905833469460851,0.6953255493472523,-1.4246324586749481,0.15426347224607723,0.9999676128209719,EIF3C,ENST00000331666.10,187,2742,3145,2928,0.8117368975272373,FALSE,grey60,
ENSG00000145675.14,9.005600211807929,-0.9903576201204365,0.5694408940605378,-1.7391754446338563,0.08200390729692125,0.9999676128209719,PIK3R1,ENST00000521381.5,617,2175,7011,2791,1.0861654539935477,FALSE,grey60,
ENSG00000008735.13,32.668905436327094,-0.9873581966857075,0.3643184712118643,-2.710151350277058,0.0067252512035862085,0.7837504287256235,MAPK8IP2,ENST00000329492.5,135,2475,3381,2609,2.1722914891257328,FALSE,grey60,
ENSG00000110400.10,34.39420807082927,-0.9840200649880289,0.41244264054444646,-2.3858349458947052,0.017040397047961883,0.9220071974165089,NECTIN1,ENST00000264025.7,532,1554,5840,2085,1.7685202902189683,FALSE,grey60,
ENSG00000105723.11,13.18092725173797,-0.9660850654181652,0.5242224724387777,-1.8428913604633597,0.06534487396464832,0.9999676128209719,GSK3A,ENST00000222330.7,129,1452,2188,1580,1.184788475354798,FALSE,grey60,
ENSG00000183020.13,25.62113342687378,-0.9552104239631174,0.36993587745824336,-2.582097282713373,0.009820189891063171,0.9173428878479445,AP2A2,ENST00000332231.9,214,2823,4656,3036,2.0078801142656415,FALSE,grey60,
ENSG00000165731.18,154.0021478200795,-0.9441865432301497,0.40167607645645215,-2.3506168242820755,0.01874232318782225,0.9659704039322581,RET,ENST00000355710.7,233,3345,5659,3577,1.727176577529487,FALSE,grey60,
ENSG00000075223.13,11.817510363100899,-0.9391316451469489,0.617864743774085,-1.5199631547359036,0.128520236190645,0.9999676128209719,SEMA3C,ENST00000265361.7,563,2256,5174,2818,0.8910284849863805,FALSE,grey60,
ENSG00000185090.14,17.193112374766127,-0.9391026144614882,0.5272760194698782,-1.7810455620675851,0.07490500782047561,0.9999676128209719,MANEAL,ENST00000373045.10,382,1374,2685,1755,1.1254891463045895,FALSE,grey60,
ENSG00000162073.13,6.506283097949183,-0.9357625414016856,0.6984138417357642,-1.3398396272846482,0.18029748932258258,0.9999676128209719,PAQR4,ENST00000318782.8,431,822,2793,1252,0.744010320870166,FALSE,grey60,
ENSG00000255690.2,16.89357267661281,-0.9334228710970293,0.5292991932416083,-1.7635070731554114,0.07781500538969258,0.9999676128209719,TRIL,ENST00000539664.2,247,2436,4935,2682,1.1089366481314524,FALSE,grey60,
ENSG00000149256.15,11.1503851046524,-0.9327576974626934,0.563543306827104,-1.6551659582550327,0.09789083841575104,0.9999676128209719,TENM4,ENST00000278550.11,464,8310,14000,8773,1.0092579518298321,FALSE,grey60,
ENSG00000130294.16,37.585735725372494,-0.931692580207195,0.5082151894581614,-1.833263939239062,0.0667633293374883,0.9999676128209719,KIF1A,ENST00000498729.8,248,5376,9218,5623,1.1754620141610541,FALSE,grey60,
ENSG00000130005.12,8.63526600948415,-0.9279372238605246,0.5531941056582759,-1.6774170483185489,0.0934609579221195,0.9999676128209719,GAMT,ENST00000447102.8,95,810,1769,904,1.029369772015337,FALSE,grey60,
ENSG00000166595.11,19.526599600042207,-0.92595123165701,0.4455292640023852,-2.0783174226060552,0.03768013279097002,0.9999676128209719,CIAO2B,ENST00000422424.6,37,492,676,528,1.4238875753514557,FALSE,grey60,
ENSG00000143793.12,10.839050636159355,-0.9201272991103806,0.5270826077326363,-1.7456984647406864,0.0808633620191699,0.9999676128209719,C1orf35,ENST00000272139.4,236,792,1427,1027,1.0922482061631158,FALSE,grey60,
ENSG00000107281.9,24.658856550750432,-0.9197714382302367,0.41147411397424044,-2.2353081445308542,0.025397125741493363,0.9999676128209719,NPDC1,ENST00000371601.4,215,978,1494,1192,1.5952154308305173,FALSE,grey60,
ENSG00000081059.19,6.7570317873691925,-0.9189943286261885,0.6228527624022898,-1.475459986854206,0.14008891817367655,0.9999676128209719,TCF7,ENST00000342854.9,197,1155,3045,1351,0.853596218507056,FALSE,grey60,
ENSG00000165655.16,7.846131473754974,-0.9126623967309184,0.6083819608830147,-1.500147038229514,0.13357631866193173,0.9999676128209719,ZNF503,ENST00000372524.4,488,1941,3347,2428,0.874270529780103,FALSE,grey60,
ENSG00000179943.7,7.523338819215705,-0.9108331959843283,0.6024853420777722,-1.5117931215441136,0.13058649981463427,0.9999676128209719,FIZ1,ENST00000221665.4,91,1491,2660,1581,0.8841017186127318,FALSE,grey60,
ENSG00000167695.14,10.567106471515446,-0.9079959746546291,0.5261662654340379,-1.7256826108105154,0.08440452811238609,0.9999676128209719,FAM57A,ENST00000308278.12,237,774,2412,1010,1.0736342538308412,FALSE,grey60,
ENSG00000185262.8,7.635678514267949,-0.9070894289789587,0.6138019072265337,-1.4778211313771341,0.1394556607582269,0.9999676128209719,UBALD2,ENST00000327490.7,305,495,1593,799,0.8555638522393478,FALSE,grey60,
ENSG00000119682.16,8.170537476301806,-0.9066860546098506,0.6301613223967343,-1.4388157799996222,0.15020272426033157,0.9999676128209719,AREL1,ENST00000356357.8,517,2472,5456,2988,0.8233221903644746,FALSE,grey60,
ENSG00000162458.12,11.806789560203171,-0.9033116183491633,0.5048120163501697,-1.7894019735904403,0.07355010172287066,0.9999676128209719,FBLIM1,ENST00000441801.6,208,1125,1543,1332,1.1334167222885807,FALSE,grey60,
ENSG00000247627.2,9.859231765897238,-0.9016009363532795,0.5244830957770744,-1.7190276361861905,0.0856093398607998,0.9999676128209719,NA,NA,NA,NA,NA,NA,1.0674788518096059,FALSE,grey60,NA
ENSG00000167861.15,24.702470133145905,-0.8991011770590163,0.49269121010198863,-1.8248776487668605,0.06801949483105597,0.9999676128209719,HID1,ENST00000425042.6,79,2367,3271,2445,1.1673665978208136,FALSE,grey60,
ENSG00000006327.13,14.13869130183352,-0.8987211272894856,0.8577387038921321,-1.04777961308192,0.29474015744599363,0.9999676128209719,TNFRSF12A,ENST00000326577.8,87,390,1033,476,0.5305606888224049,FALSE,grey60,
ENSG00000110218.8,15.07643316169567,-0.8946383354942588,0.42830192817559226,-2.0888029603440894,0.03672546382644281,0.9999676128209719,PANX1,ENST00000227638.7,386,1281,2769,1666,1.4350327105549248,FALSE,grey60,
ENSG00000197858.10,29.984336202493594,-0.8933465831349736,0.38646747991162866,-2.311569872164277,0.02080139851665629,0.9659704039322581,GPAA1,ENST00000355091.8,122,1866,2078,1987,1.6819074656310375,FALSE,grey60,
ENSG00000105176.17,6.689616528643902,-0.8912814933657746,0.6375772058428678,-1.3979193189435206,0.16213729658881113,0.9999676128209719,URI1,ENST00000392271.5,298,1608,3444,1905,0.7901170725075275,FALSE,grey60,
ENSG00000170522.9,7.5481781114800155,-0.8906084561182087,0.5837868136351679,-1.525571382081244,0.12711664373853898,0.9999676128209719,ELOVL6,ENST00000394607.7,165,798,6454,962,0.8957975823289553,FALSE,grey60,
ENSG00000131116.11,13.501631390945713,-0.8898577515285723,0.509456680204537,-1.7466799162812263,0.0806928760459711,0.9999676128209719,ZNF428,ENST00000300811.7,448,567,1412,1014,1.0931648051848932,FALSE,grey60,
ENSG00000008300.16,16.88983819725987,-0.8886807437061952,0.4599543797853818,-1.9321062756720795,0.05334638991073364,0.9999676128209719,CELSR3,ENST00000164024.4,282,9939,11956,10220,1.2728949650848034,FALSE,grey60,
ENSG00000078018.19,38.02562122495019,-0.8845340647029886,0.35995006288439957,-2.457379942136759,0.013995458166883157,0.9220071974165089,MAP2,ENST00000360351.8,507,5484,9711,5990,1.854012879542075,FALSE,grey60,
ENSG00000175137.10,9.795401180185506,-0.8822110032321917,0.5330222735496478,-1.6551109531636092,0.09790199347061358,0.9999676128209719,SH3BP5L,ENST00000366472.5,1231,1182,3861,2412,1.0092084650459627,FALSE,grey60,
ENSG00000115756.12,27.288884362276857,-0.8787887406447717,0.7556738656303494,-1.162920646874198,0.2448616995785298,0.9999676128209719,HPCAL1,ENST00000620771.4,565,582,1941,1146,0.6110791404062015,FALSE,grey60,
ENSG00000074855.10,8.298652451774139,-0.8786110010365844,0.5952153319477057,-1.4761229321185854,0.13991089372690757,0.9999676128209719,ANO8,ENST00000159087.6,160,3699,4152,3858,0.8541484692015755,FALSE,grey60,
ENSG00000101152.10,7.700066395999762,-0.876309522403701,0.6891801567999627,-1.2715245988402033,0.20354208196834195,0.9999676128209719,DNAJC5,ENST00000360864.8,154,597,5213,750,0.691345787533374,FALSE,grey60,
